dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,11,0.513,1.7428624877929688,0.42638849980886234,1,1,0.5,0.125,19.25180000000637,12.11399999999685,4239760,433.0812000000037,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,12,0.437,1.6865391235351563,0.37529102361920663,1,1,0.5,0.125,18.498700000009194,10.586100000011811,4239760,437.2730000000047,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,13,0.582,1.4909218139648437,0.4966811288309011,1,1,0.5,0.125,17.298299999993105,9.308200000020861,4239760,449.6302000000014,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,14,0.568,1.43076708984375,0.4691355867084634,1,1,0.5,0.125,16.943499999968026,10.529200000007677,4239760,439.46889999995165,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,15,0.512,1.4252421569824218,0.4597116638845852,1,1,0.5,0.125,18.467600000008133,10.022599999956583,4239760,435.23890000000165,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,16,0.578,1.2382981567382811,0.5065814624266829,2,0,1.0,0.0,18.58399999997573,9.810099999981503,4239760,432.2129999999902,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,17,0.634,1.0983368225097656,0.5549897649177946,2,0,1.0,0.0,18.252099999983784,9.673399999996946,4239760,432.75669999997035,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,18,0.636,1.0883308410644532,0.5792970329278854,1,1,0.5,0.125,15.959599999973761,10.437700000011318,4239760,438.6221999999975,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,19,0.643,1.0218858032226563,0.5815012811326723,1,1,0.5,0.125,18.936699999983375,12.068699999986165,4239760,434.6578999999906,2142,32,600,46800,69120,1440
mnist,tiny_cnn,pp_srsf,label_flip,0.2,0.5,20,0.558,1.2264930725097656,0.5014880351973411,2,0,1.0,0.0,20.771400000000995,10.848400000043057,4239760,432.24360000004936,2142,32,600,46800,69120,1440
